Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,PROBUT_module,IBUTBUT_module,ETHBUT_module,PRO_module,ETH_module,IPRO_module,IBUT_module
incumbent,20.70,0.01,8.2828303105905796,"['GG11', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['PPP1'],"['TRA1', 'FEM5']",['FEM5'],['PPP1'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']"
p2,,,8.2828303105905796,"['GG11', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['PPP1'],"['TRA1', 'FEM5']",['FEM5'],['PPP1'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']"
