Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETH_module,IPROBUT_module,ETHBUT_module,IBUT_module,IPRO_module
incumbent,1.18,0.00,2.7440838118890412,['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['FEM5'],"['TRA1', 'FEM5']",['TRA1']
p2,,,2.7440838118890412,['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['FEM5'],"['TRA1', 'FEM5']",['TRA1']
