Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETHBUT_module,IPROBUT_module,IBUT_module,ETH_module,IPRO_module
incumbent,64.24,0.01,7.2644366831472311,"['TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['FEM5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1']
p2,,,7.2644366831472311,"['TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['FEM5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1']
