Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,BUT_module,ETH_module,IBUTBUT_module,IPROBUT_module,IBUT_module,PRO_module,BUTBUT_module,PROBUT_module,IPRO_module
incumbent,81.57,0.01,108.36924579570143,"['ANA3', 'GG11', 'OPM4r', 'PPP1', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA6', 'FEM5']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP1', 'PPP3']",['TRA6'],"['PPP1', 'PPP3']","['TRA1', 'TRA6']"
p2,,,108.36924579570143,"['ANA3', 'GG11', 'OPM4r', 'PPP1', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA6', 'FEM5']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP1', 'PPP3']",['TRA6'],"['PPP1', 'PPP3']","['TRA1', 'TRA6']"
