Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,IPROBUT_module,IBUTBUT_module,ETHBUT_module,ETH_module,IBUT_module,PROBUT_module,PRO_module
incumbent,0.74,0.00,9.9047619049329079,"['FEM2', 'PPP6r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['TRA1'],['FEM5'],['FEM5'],"['TRA1', 'FEM5']",['FEM5'],['PPP6r'],['PPP6r']
p2,,,9.9047619049329079,"['FEM2', 'PPP6r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['TRA1'],['FEM5'],['FEM5'],"['TRA1', 'FEM5']",['FEM5'],['PPP6r'],['PPP6r']
