Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IPROBUT_module,IBUTBUT_module,ETH_module,IBUT_module,IPRO_module
incumbent,2.74,0.01,62.159366314918948,"['TRA1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1']
p2,,,62.159366314918948,"['TRA1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1']
