Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IPROBUT_module,IPRO_module,ETH_module,ETHBUT_module,IBUTBUT_module
incumbent,0.72,0.00,7.4894929631771738,"['TRA1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['TRA1'],['TRA1'],"['TRA1', 'FEM5']",['FEM5'],['FEM5']
p2,,,7.4894929631771738,"['TRA1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['TRA1'],['TRA1'],"['TRA1', 'FEM5']",['FEM5'],['FEM5']
