Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,ETHBUT_module,IBUT_module,IBUTBUT_module
incumbent,0.44,0.00,4.583333333344247,"['FEM3', 'PPP1', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p3,,,4.583333333344247,"['FEM3', 'PPP1', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
