Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IPRO_module,ETH_module,IBUTBUT_module,IBUT_module,ETHBUT_module
incumbent,2.59,0.00,43.511410820779602,"['TRA1', 'TRA2', 'TRA4']",['TRA1'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'TRA2', 'FEM5']","['TRA1', 'TRA2', 'FEM5']",['FEM5']
p2,,,43.511410820779602,"['TRA1', 'TRA2', 'TRA4']",['TRA1'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'TRA2', 'FEM5']","['TRA1', 'TRA2', 'FEM5']",['FEM5']
