Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUT_module,ETH_module,IBUTBUT_module
incumbent,1.41,0.00,12.094098894309102,"['FEM3', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,12.094098894309102,"['FEM3', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
