Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IBUT_module,ETHBUT_module,IBUTBUT_module
incumbent,1.45,0.00,53.522670322883101,"['FEM2', 'PPP1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,53.522670322883101,"['FEM2', 'PPP1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
