Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,ETHBUT_module,ETH_module,IBUT_module,IPROBUT_module,IBUTBUT_module
incumbent,1.56,0.00,35.938528256333434,"['TRA1', 'TRA4']",['TRA1'],['FEM5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']"
p2,,,35.938528256333434,"['TRA1', 'TRA4']",['TRA1'],['FEM5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']"
