Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,ETH_module,IPROBUT_module,IBUTBUT_module,ETHBUT_module,IBUT_module
incumbent,66.73,0.01,5.0354446135178401,"['GG11', 'TRA1', 'TRA2']",['TRA1'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['GG11', 'FEM5']","['TRA1', 'FEM5']"
p2,,,5.0354446135178401,"['GG11', 'TRA1', 'TRA2']",['TRA1'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['GG11', 'FEM5']","['TRA1', 'FEM5']"
