Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IBUTBUT_module,ETH_module,ETHBUT_module
incumbent,0.94,0.00,5.9710563021191954,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,5.9710563021191954,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
