Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETH_module,IBUT_module,ETHBUT_module
incumbent,0.30,0.00,0.60000000000000009,"['FEM3', 'FEM7']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p4,,,0.60000000000000009,"['FEM3', 'FEM7']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p3,,,0.60000000000000009,"['TRA2', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,0.60000000000000009,"['FEM3', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
