Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETH_module,ETHBUT_module,IBUT_module
incumbent,1.01,0.00,3.5226703228844838,"['TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,3.5226703228844838,"['TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
