Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETHBUT_module,IPRO_module,IBUT_module,PROBUT_module,PRO_module,ETH_module,IPROBUT_module
incumbent,0.83,0.00,9.4880952382752604,"['PPP6r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['TRA1'],['FEM5'],['PPP6r'],['PPP6r'],"['TRA1', 'FEM5']",['TRA1']
p2,,,9.4880952382752604,"['PPP6r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['TRA1'],['FEM5'],['PPP6r'],['PPP6r'],"['TRA1', 'FEM5']",['TRA1']
