Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,ETH_module,ETHBUT_module,IBUTBUT_module,IBUT_module,IPRO_module
incumbent,1.46,0.00,35.938528256333441,"['TRA1', 'TRA4']",['TRA1'],"['TRA1', 'FEM5']",['FEM5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1']
p2,,,35.938528256333441,"['TRA1', 'TRA4']",['TRA1'],"['TRA1', 'FEM5']",['FEM5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1']
