Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,PRO_module,IPRO_module,IPROBUT_module,ETHBUT_module,IBUT_module,PROBUT_module,IBUTBUT_module
incumbent,19.08,0.01,8.3638435174882346,"['ANA3', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP3'],['TRA1'],['TRA1'],['FEM5'],"['TRA1', 'FEM5']",['PPP3'],"['TRA1', 'FEM5']"
p2,,,8.3638435174882346,"['ANA3', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['PPP3'],['TRA1'],['TRA1'],['FEM5'],"['TRA1', 'FEM5']",['PPP3'],"['TRA1', 'FEM5']"
