Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IPROBUT_module,IBUT_module,IBUTBUT_module,IPRO_module,ETHBUT_module
incumbent,2.86,0.00,62.159366314918948,"['TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['FEM5']
p2,,,62.159366314918948,"['TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['FEM5']
