Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUT_module,IBUTBUT_module,ETH_module
incumbent,1.47,0.00,49.356003656213709,"['FEM3', 'PPP1', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,49.356003656213709,"['FEM3', 'PPP1', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
