Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETHBUT_module,IPROBUT_module,ETH_module,IBUT_module,IPRO_module
incumbent,1.59,0.00,35.938528256333434,"['TRA1', 'TRA4']","['TRA1', 'FEM5']",['FEM5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1']
p2,,,35.938528256333434,"['TRA1', 'TRA4']","['TRA1', 'FEM5']",['FEM5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1']
