Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETHBUT_module,ETH_module,IBUTBUT_module
incumbent,1.24,0.00,4.1026974485312611,"['FEM3', 'GG11', 'GG12', 'GG4', 'GLB2', 'PPP1', 'TCA5', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,4.1026974485312611,"['FEM3', 'GG11', 'GG12', 'GG4', 'GLB2', 'PPP1', 'TCA5', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
