Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETHBUT_module,PRO_module,IPRO_module,IBUT_module,ETH_module,IPROBUT_module,PROBUT_module
incumbent,3.90,0.01,107.32504145306568,"['GG11', 'GG12', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['FEM5'],['PPP1'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['PPP1']
p2,,,107.32504145306568,"['GG11', 'GG12', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['FEM5'],['PPP1'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['PPP1']
