Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUT_module,ETH_module,IBUTBUT_module
incumbent,1.21,0.00,3.5226703228819618,"['PPP3', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,3.5226703228819618,"['PPP3', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
