Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IBUTBUT_module,BUT_module,ETH_module,IBUT_module,IPRO_module,PROBUT_module,PRO_module,BUTBUT_module,ETHBUT_module
incumbent,500.03,12.67,8.3692460884951245,"['GG11', 'PPP3', 'TCA5', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6']",['PPP3'],['PPP3'],['TRA6'],"['TRA6', 'FEM5']"
p2,,,8.3692460884951245,"['GG11', 'PPP3', 'TCA5', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6']",['PPP3'],['PPP3'],['TRA6'],"['TRA6', 'FEM5']"
