Solution name,Time(s),Gap(%),Objective value,Deletions,PRO_module,IPROBUT_module,ETH_module,IBUTBUT_module,PROBUT_module,IPRO_module,ETHBUT_module,IBUT_module
incumbent,6.07,0.01,106.31205573536604,"['OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP3'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP3'],['TRA1'],['FEM5'],"['TRA1', 'FEM5']"
p2,,,106.31205573536604,"['OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP3'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP3'],['TRA1'],['FEM5'],"['TRA1', 'FEM5']"
