Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETH_module,ETHBUT_module,IBUTBUT_module
incumbent,0.42,0.00,5,"['ANA2', 'ANA3', 'FEM2', 'FEM3', 'PPP1', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p4,,,5,"['ANA2', 'ANA3', 'FEM2', 'FEM3', 'PPP1', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p3,,,5,"['ANA2', 'FEM2', 'OPM3', 'PPP1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,5,"['OPM3', 'OPM4r', 'PPP3', 'TCA5', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
