Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IPRO_module,PRO_module,ETHBUT_module,IBUTBUT_module,IBUT_module,ETH_module,PROBUT_module
incumbent,2.47,0.01,106.31205573076626,"['FEM2', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['TRA1'],['PPP3'],['FEM5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP3']
p2,,,106.31205573076626,"['FEM2', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['TRA1'],['PPP3'],['FEM5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP3']
