Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,IBUT_module,ETHBUT_module,IPROBUT_module,ETH_module,IBUTBUT_module
incumbent,1.49,0.00,35.938528256333441,"['TRA1', 'TRA4']",['TRA1'],"['TRA1', 'FEM5']",['FEM5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']"
p2,,,35.938528256333441,"['TRA1', 'TRA4']",['TRA1'],"['TRA1', 'FEM5']",['FEM5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']"
