Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETHBUT_module,IBUT_module,ETH_module
incumbent,1.78,0.00,54.102697448531288,"['GG11', 'OPM4r', 'PPP1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,54.102697448531288,"['GG11', 'OPM4r', 'PPP1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
