Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETH_module,ETHBUT_module,IPRO_module,IPROBUT_module,IBUTBUT_module
incumbent,1.04,0.00,2.7440838116895989,['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM5'],['TRA1'],['TRA1'],"['TRA1', 'FEM5']"
p2,,,2.7440838116895989,['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM5'],['TRA1'],['TRA1'],"['TRA1', 'FEM5']"
