Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUT_module,ETH_module,IBUTBUT_module
incumbent,1.43,0.00,4.1196490712422467,"['GG11', 'GG12', 'OPM3', 'OPM4r', 'PPP3', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,4.1196490712422467,"['GG11', 'GG12', 'OPM3', 'OPM4r', 'PPP3', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
