Solution name,Time(s),Gap(%),Objective value,Deletions,PRO_module,ETH_module,IBUTBUT_module,PROBUT_module,IPROBUT_module,ETHBUT_module,IBUT_module,IPRO_module
incumbent,1.13,0.01,9.9047619049528475,"['FEM2', 'GG12', 'OPM3', 'PPP3', 'TCA9r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP3'],"['TRA1', 'FEM5']",['FEM5'],['PPP3'],['TRA1'],['FEM5'],['FEM5'],['TRA1']
p2,,,9.9047619049528475,"['FEM2', 'GG12', 'OPM3', 'PPP3', 'TCA9r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP3'],"['TRA1', 'FEM5']",['FEM5'],['PPP3'],['TRA1'],['FEM5'],['FEM5'],['TRA1']
