Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IBUT_module,IPRO_module,ETH_module,IBUTBUT_module,ETHBUT_module
incumbent,51.70,0.01,5.0198717032800229,"['GG11', 'TRA1', 'TRA2']",['TRA1'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM5']
p2,,,5.0198717032800229,"['GG11', 'TRA1', 'TRA2']",['TRA1'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM5']
