Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IBUTBUT_module,ETH_module,ETHBUT_module
incumbent,1.29,0.00,4.1026974485312895,"['ANA3', 'GG11', 'GG12', 'OPM3', 'PPP1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,4.1026974485312895,"['ANA3', 'GG11', 'GG12', 'OPM3', 'PPP1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
