Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETHBUT_module,ETH_module,IBUTBUT_module
incumbent,1.13,0.00,3.5226703228866771,"['TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,3.5226703228866771,"['TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
