Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUTBUT_module,IBUT_module,IPROBUT_module,ETH_module,IPRO_module
incumbent,0.72,0.00,7.4894929631771703,"['TRA1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['TRA1'],"['TRA1', 'FEM5']",['TRA1']
p2,,,7.4894929631771703,"['TRA1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['TRA1'],"['TRA1', 'FEM5']",['TRA1']
