Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,ETHBUT_module,PROBUT_module,IBUT_module,IPRO_module,IPROBUT_module,PRO_module,IBUTBUT_module
incumbent,0.84,0.00,9.9047619052560645,"['ANA3', 'FEM2', 'PPP6r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['FEM5'],['PPP6r'],['FEM5'],['TRA1'],['TRA1'],['PPP6r'],['FEM5']
p2,,,9.9047619052560645,"['ANA3', 'FEM2', 'PPP6r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['FEM5'],['PPP6r'],['FEM5'],['TRA1'],['TRA1'],['PPP6r'],['FEM5']
