Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IBUT_module,ETH_module,ETHBUT_module,IPRO_module,IBUTBUT_module
incumbent,0.52,0.00,5.3194444444444446,"['TRA1', 'TRA4']",['TRA4'],['FEM5'],"['TRA1', 'FEM5']",['FEM5'],['TRA1'],['FEM5']
p2,,,5.3194444444444446,"['TRA1', 'TRA4']",['TRA4'],['FEM5'],"['TRA1', 'FEM5']",['FEM5'],['TRA1'],['FEM5']
