Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUTBUT_module,IBUT_module,ETH_module
incumbent,0.96,0.00,5.9710563021191954,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,5.9710563021191954,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
