Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IBUTBUT_module,IBUT_module,IPRO_module,ETHBUT_module,ETH_module
incumbent,0.69,0.00,7.4894929631771703,"['TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['FEM5'],['FEM5'],['TRA1'],['FEM5'],"['TRA1', 'FEM5']"
p2,,,7.4894929631771703,"['TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['FEM5'],['FEM5'],['TRA1'],['FEM5'],"['TRA1', 'FEM5']"
