Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IBUTBUT_module,ETHBUT_module,ETH_module
incumbent,1.14,0.00,4.1026974485312433,"['FEM2', 'FEM3', 'GG11', 'GG12', 'GLB2', 'PPP3', 'TCA5', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,4.1026974485312433,"['FEM2', 'FEM3', 'GG11', 'GG12', 'GLB2', 'PPP3', 'TCA5', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
