Solution name,Time(s),Gap(%),Objective value,Deletions,BUTBUT_module,IBUTBUT_module,IPRO_module,PROBUT_module,IBUT_module,PRO_module,ETH_module,IPROBUT_module,ETHBUT_module,BUT_module
incumbent,500.02,12.45,8.3692457957014277,"['GG11', 'PPP1', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6']","['PPP1', 'PPP3']","['TRA1', 'TRA6', 'FEM5']","['PPP1', 'PPP3']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6']","['TRA6', 'FEM5']",['TRA6']
p2,,,8.3692457957014277,"['GG11', 'PPP1', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6']","['PPP1', 'PPP3']","['TRA1', 'TRA6', 'FEM5']","['PPP1', 'PPP3']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6']","['TRA6', 'FEM5']",['TRA6']
