Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,IBUTBUT_module,ETH_module,ETHBUT_module,IBUT_module,IPROBUT_module
incumbent,3.58,0.00,62.159366314918955,"['TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM5'],"['TRA1', 'FEM5']",['TRA1']
p2,,,62.159366314918955,"['TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM5'],"['TRA1', 'FEM5']",['TRA1']
