Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IBUTBUT_module,ETHBUT_module,ETH_module,PROBUT_module
incumbent,0.34,0.00,0.50000000019589186,['FEM3'],['FEM5'],['FEM5'],['FEM5'],['FEM5'],['FEM3']
p2,,,0.50000000019589186,['FEM3'],['FEM5'],['FEM5'],['FEM5'],['FEM5'],['FEM3']
