Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETH_module,ETHBUT_module,IBUTBUT_module
incumbent,0.45,0.00,5,"['FEM2', 'PPP1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,5,"['FEM2', 'PPP1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
