Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETHBUT_module,ETH_module,IBUT_module
incumbent,0.68,0.00,2.5480176543884161,"['GG11', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,2.5480176543884161,"['GG11', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
