Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IPRO_module,BUTBUT_module,IBUT_module,IPROBUT_module,IBUTBUT_module,ETHBUT_module
incumbent,0.62,0.00,6.9214285715968806,"['TRA1', 'TRA4', 'TRA6']","['TRA1', 'FEM5']","['TRA1', 'TRA6']",['TRA6'],['FEM5'],"['TRA1', 'TRA6']","['TRA6', 'FEM5']","['TRA6', 'FEM5']"
p2,,,6.9214285715968806,"['TRA1', 'TRA4', 'TRA6']","['TRA1', 'FEM5']","['TRA1', 'TRA6']",['TRA6'],['FEM5'],"['TRA1', 'TRA6']","['TRA6', 'FEM5']","['TRA6', 'FEM5']"
