Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IPROBUT_module,ETHBUT_module,IBUTBUT_module,IPRO_module,ETH_module
incumbent,2.04,0.00,43.389167813959219,"['TRA1', 'TRA2', 'TRA4']","['TRA1', 'FEM5']",['TRA1'],['FEM5'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']"
p2,,,43.389167813959219,"['TRA1', 'TRA2', 'TRA4']","['TRA1', 'FEM5']",['TRA1'],['FEM5'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']"
