Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETHBUT_module,IPROBUT_module,IPRO_module,IBUT_module,PROBUT_module,PRO_module,ETH_module
incumbent,1.19,0.01,9.9047619090511798,"['ANA3', 'FEM2', 'GG11', 'OPM3', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['TRA1'],['TRA1'],['FEM5'],['PPP3'],['PPP3'],"['TRA1', 'FEM5']"
p2,,,9.9047619090511798,"['ANA3', 'FEM2', 'GG11', 'OPM3', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['TRA1'],['TRA1'],['FEM5'],['PPP3'],['PPP3'],"['TRA1', 'FEM5']"
