Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,ETHBUT_module,IBUTBUT_module,IBUT_module
incumbent,0.66,0.00,5.9710563020724523,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,5.9710563020724523,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
