Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,ETH_module,PRO_module,IPRO_module,IBUT_module,PROBUT_module,ETHBUT_module,IBUTBUT_module
incumbent,3.72,0.00,102.1453890712715,"['PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']",['PPP3'],['TRA1'],"['TRA1', 'FEM5']",['PPP3'],['FEM5'],"['TRA1', 'FEM5']"
p2,,,102.1453890712715,"['PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']",['PPP3'],['TRA1'],"['TRA1', 'FEM5']",['PPP3'],['FEM5'],"['TRA1', 'FEM5']"
