Solution name,Time(s),Gap(%),Objective value,Deletions,PRO_module,IPRO_module,IBUT_module,ETH_module,ETHBUT_module,IBUTBUT_module,IPROBUT_module,PROBUT_module
incumbent,18.69,0.01,8.3638435174882471,"['GG11', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP1'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM5'],"['TRA1', 'FEM5']",['TRA1'],['PPP1']
p2,,,8.3638435174882471,"['GG11', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP1'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM5'],"['TRA1', 'FEM5']",['TRA1'],['PPP1']
