Solution name,Time(s),Gap(%),Objective value,Deletions,PRO_module,IPRO_module,IBUTBUT_module,PROBUT_module,ETH_module,IPROBUT_module,ETHBUT_module,IBUT_module
incumbent,9.97,0.01,107.32504145302676,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP3'],['TRA1'],"['TRA1', 'FEM5']",['PPP3'],"['TRA1', 'FEM5']",['TRA1'],['FEM5'],"['TRA1', 'FEM5']"
p2,,,107.32504145302676,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP3'],['TRA1'],"['TRA1', 'FEM5']",['PPP3'],"['TRA1', 'FEM5']",['TRA1'],['FEM5'],"['TRA1', 'FEM5']"
