Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUTBUT_module,ETH_module,IBUT_module
incumbent,2.33,0.01,54.102697448531401,"['ANA3', 'GG11', 'GLB2', 'OPM4r', 'PPP3', 'TCA5', 'TRA2', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,54.102697448531401,"['ANA3', 'GG11', 'GLB2', 'OPM4r', 'PPP3', 'TCA5', 'TRA2', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
