Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IPRO_module,BUTBUT_module,ETH_module,IPROBUT_module,PROBUT_module,BUT_module,IBUTBUT_module,IBUT_module,PRO_module
incumbent,27.31,0.01,108.36924579570146,"['GG11', 'OPM4r', 'PPP1', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA6', 'FEM5']","['TRA1', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6']","['PPP1', 'PPP3']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']","['PPP1', 'PPP3']"
p2,,,108.36924579570146,"['GG11', 'OPM4r', 'PPP1', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA6', 'FEM5']","['TRA1', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6']","['PPP1', 'PPP3']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']","['PPP1', 'PPP3']"
