Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IPRO_module,ETHBUT_module,IPROBUT_module,IBUTBUT_module,PROBUT_module,PRO_module,ETH_module
incumbent,19.76,0.01,8.2774224054077106,"['GG11', 'GLB2', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['TRA1'],['FEM5'],['TRA1'],"['TRA1', 'FEM5']",['PPP3'],['PPP3'],"['TRA1', 'FEM5']"
p2,,,8.2774224054077106,"['GG11', 'GLB2', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['TRA1'],['FEM5'],['TRA1'],"['TRA1', 'FEM5']",['PPP3'],['PPP3'],"['TRA1', 'FEM5']"
