Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,ETH_module,PRO_module,IBUTBUT_module,IBUT_module
incumbent,1.37,0.00,5.9710563021189396,['FEM3'],['FEM5'],['FEM5'],['FEM3'],['FEM5'],['FEM5']
p2,,,5.9710563021189396,['FEM3'],['FEM5'],['FEM5'],['FEM3'],['FEM5'],['FEM5']
