Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IBUTBUT_module,PROBUT_module,ETHBUT_module,ETH_module,IBUT_module,IPRO_module,PRO_module
incumbent,0.75,0.00,9.9047619056312719,"['FEM2', 'PPP6r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['FEM5'],['PPP6r'],['FEM5'],"['TRA1', 'FEM5']",['FEM5'],['TRA1'],['PPP6r']
p2,,,9.9047619056312719,"['FEM2', 'PPP6r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['FEM5'],['PPP6r'],['FEM5'],"['TRA1', 'FEM5']",['FEM5'],['TRA1'],['PPP6r']
