Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,ETHBUT_module,PROBUT_module,IPRO_module,IPROBUT_module,PRO_module,IBUTBUT_module,IBUT_module
incumbent,500.02,16.80,8.2828246836208912,"['GG11', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['FEM5'],['PPP1'],['TRA1'],['TRA1'],['PPP1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']"
p2,,,8.2828246836208912,"['GG11', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['FEM5'],['PPP1'],['TRA1'],['TRA1'],['PPP1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']"
