Solution name,Time(s),Gap(%),Objective value,Deletions,PROBUT_module,IBUT_module,IBUTBUT_module,PRO_module,ETHBUT_module,IPROBUT_module,BUTBUT_module,ETH_module,IPRO_module,BUT_module
incumbent,500.02,11.75,8.3692457957014437,"['ANA3', 'GG11', 'GLB2', 'PPP1', 'TCA5', 'TRA1', 'TRA2', 'TRA4', 'TRA6']",['PPP1'],"['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA6', 'FEM5']","['TRA1', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6']",['TRA6']
p2,,,8.3692457957014437,"['ANA3', 'GG11', 'GLB2', 'PPP1', 'TCA5', 'TRA1', 'TRA2', 'TRA4', 'TRA6']",['PPP1'],"['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA6', 'FEM5']","['TRA1', 'TRA6']",['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6']",['TRA6']
