Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,IBUT_module,ETHBUT_module,ETH_module,IBUTBUT_module,IPROBUT_module
incumbent,0.50,0.00,5.3194444444444446,"['TRA1', 'TRA4']","['TRA1', 'TRA4']",['FEM5'],['FEM5'],"['TRA1', 'FEM5']",['FEM5'],['TRA4']
p2,,,5.3194444444444446,"['TRA1', 'TRA4']","['TRA1', 'TRA4']",['FEM5'],['FEM5'],"['TRA1', 'FEM5']",['FEM5'],['TRA4']
