Solution name,Time(s),Gap(%),Objective value,Deletions,PROBUT_module,IPROBUT_module,ETH_module,IBUTBUT_module,IBUT_module,PRO_module,IPRO_module,ETHBUT_module
incumbent,17.38,0.01,8.2774224054077159,"['ANA3', 'FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP3'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP3'],['TRA1'],['FEM5']
p2,,,8.2774224054077159,"['ANA3', 'FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP3'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP3'],['TRA1'],['FEM5']
